1,羽肿,9,0,9,0.00621504,0,0.170788,0,0,9,0,9
2,郭顶,26,0,26,0.037051327,0,0.189286,0,0,26,0,26
3,D-Lay,1,0,1,0.001243008,0,0.134487,0,0,1,0,1
4,ゆう十,0,0,0,0,0,0,0,0,0,0,0
5,Gary,0,0,0,0,0,0,0,0,0,0,0
6,茄子蛋,0,0,0,0,0,0,0,0,0,0,0
7,传琦SAMA,9,2,11,0.014738524,0.001864512,0.1699,163,6.31E-05,9,2,11
8,吾恩,3,0,3,0.002486016,0,0.13792,0,0,3,0,3
9,玄乐队,0,3,3,0,0.00832275,0.135322,0,0,0,3,3
10,BowOfAtlas,0,0,0,0,0,0,0,0,0,0,0
11,朱彦安,1,0,1,0.001243008,0,0.123298,0,0,1,0,1
12,DJ,0,4,4,0,0.009669746,0.15689,0,0,0,4,4
13,徐云霄,1,4,5,0.001243008,0.00310752,0.155287,4,1.55E-06,1,6,7
14,蜡笔大Boom,4,0,4,0.00310752,0,0.123672,0,0,4,0,4
15,胡艾彤,0,1,1,0,0.00149161,0.132416,0,0,0,1,1
16,马戏团小丑,1,0,1,0.001243008,0,0.116819,0,0,1,0,1
17,Thud,0,0,0,0,0,0,0,0,0,0,0
18,张蔷,6,0,6,0.004350528,0,0.161264427,0,0,6,0,6
19,燃烧青春乐队,0,1,1,0,0.001243008,0.001243008,0,0,0,1,1
20,尧十三,0,6,6,0,0.004474829,0.168933762,0,0,0,14,14
21,董子健,0,0,0,0,0,0,0,0,0,0,0
22,丁于,0,1,1,0,0.001695011,0.128662347,0,0,0,1,1
23,上海交响乐团,1,0,1,0.001243008,0,0.001243008,0,0,1,0,1
24,TooHigh,2,0,2,0.001864512,0,0.141350502,0,0,2,0,2
25,嘿！！！,0,0,0,0,0,0,0,0,0,0,0
26,王呈章,0,0,0,0,0,0,0,0,0,0,0
27,江南诚,0,1,1,0,0.00149161,0.117618269,0,0,0,1,1
28,玄觞,0,2,2,0,0.001864512,0.12830874,0,0,0,2,2
29,斯琴高丽,3,0,3,0.002486016,0,0.155287414,0,0,3,0,3
30,二凉,0,1,1,0,0.001243008,0.13048607,0,0,0,1,1
31,Shawee,6,1,7,0.004350528,0.001243008,0.177900034,3,1.16E-06,6,1,7
32,abduwalitohti,0,1,1,0,0.001243008,0.128687679,0,0,0,1,1
33,藤乐队,0,4,4,0,0.005932539,0.169591262,0,0,0,4,4
34,ETC!ETC!,0,0,0,0,0,0,0,0,0,0,0
35,BlurryCloud,7,5,12,0.016176133,0.005729964,0.1616633,604,2.34E-04,7,5,12
36,SaMZIng,19,0,19,0.025800186,0,0.189231246,0,0,19,0,19
37,常石磊,9,0,9,0.010772737,0,0.168238024,0,0,10,0,10
38,赵大格,0,0,0,0,0,0,0,0,0,0,0
39,人行道乐队,0,1,1,0,0.001243008,0.124047205,0,0,0,1,1
40,程璧,3,0,3,0.002486016,0,0.151613251,0,0,3,0,3
41,Zhouna,0,8,8,0,0.010517761,0.157229907,0,0,0,9,9
42,李潇潇,0,7,7,0,0.008390305,0.173369953,0,0,0,7,7
43,晴愔,1,3,4,0.001243008,0.004281472,0.13809523,28,1.08E-05,1,3,4
44,Mavericks_Official,0,2,2,0,0.006007872,0.154297621,0,0,0,8,8
45,HAS,0,2,2,0,0.001775726,0.113987569,0,0,0,2,2
46,Krewella,0,0,0,0,0,0,0,0,0,0,0
47,renyi,0,33,33,0,0.02177566,0.199513041,0,0,0,33,33
48,EDEN,0,1,1,0,0.00149161,0.144156313,0,0,0,1,1
49,颜小健,0,0,0,0,0,0,0,0,0,0,0
50,山竹妹汁,1,6,7,0.001243008,0.004350528,0.143997516,0,0,1,6,7
51,U,0,2,2,0,0.009446861,0.148580296,0,0,0,2,2
52,Lonzo,0,11,11,0,0.007830951,0.163687634,0,0,0,11,11
53,「么凹」,0,4,4,0,0.006241676,0.137572032,0,0,0,4,4
54,荣子yJan,0,0,0,0,0,0,0,0,0,0,0
55,Hope组合,0,1,1,0,0.001243008,0.109043164,0,0,0,1,1
56,阿兰,0,0,0,0,0,0,0,0,0,0,0
57,Borgeous,0,0,0,0,0,0,0,0,0,0,0
58,Miguel,6,0,6,0.004021497,0,0.161105429,0,0,6,0,6
59,王麟,1,0,1,0.001243008,0,0.153897981,0,0,1,0,1
60,Showtek,0,0,0,0,0,0,0,0,0,0,0
61,Kit.Tam,0,1,1,0,0.00458783,0.128992446,0,0,0,1,1
63,AllieX,0,0,0,0,0,0,0,0,0,0,0
64,贰贝勒·木森(J-Forest),4,0,4,0.003262896,0,0.156514541,0,0,4,0,4
65,Gameface,0,0,0,0,0,0,0,0,0,0,0
66,杨非同,0,0,0,0,0,0,0,0,0,0,0
67,TooPhat,0,0,0,0,0,0,0,0,0,0,0
68,刘珂矣,0,1,1,0,0.001243008,0.13198803,0,0,0,1,1
69,段林希,2,0,2,0.002320282,0,0.126839651,0,0,2,0,2
69,惊林,1,0,1,0.001243008,0,0.12157826,0,0,1,0,1
70,少年霜,3,3,6,0.002486016,0.002486016,0.164016242,10,3.87E-06,3,3,6
71,昙骨,1,4,5,0.001775726,0.009246899,0.153789347,27,1.04E-05,1,4,5
72,李霄云,10,0,10,0.005282784,0,0.156890236,0,0,10,0,10
73,潜水大象,0,2,2,0,0.005981976,0.154079378,0,0,0,2,2
74,黄诗扶,4,0,4,0.00310752,0,0.13673739,0,0,5,0,5
75,霍尊,7,0,7,0.018696258,0,0.173186201,0,0,7,0,7
76,AngryJaR,18,5,23,0.024099136,0.006525792,0.186637557,314.517,1.22E-04,21,5,26
77,EdJean,0,2,2,0,0.00602082,0.147241434,0,0,0,2,2
78,夏天播放,1,0,1,0.001243008,0,0.161903573,0,0,1,0,1
79,RacoonRacoon,0,0,0,0,0,0,0,0,0,0,0
80,曹翟,2,0,2,0.001864512,0,0.126251637,0,0,2,0,2
81,小白的亚新,0,8,8,0,0.014765429,0.175135242,0,0,0,8,8
82,刘莱斯,0,4,4,0,0.004024979,0.132121432,0,0,0,4,4
83,零点乐队,1,0,1,0.001243008,0,0.001243008,0,0,1,0,1
84,王贰浪,11,7,18,0.018856697,0.004972032,0.189560535,503.5,1.95E-04,13,7,20
85,夏璃夜,4,0,4,0.004215419,0,0.168802873,0,0,4,0,4
86,RAiNBOW计划,2,0,2,0.00382464,0,0.137949498,0,0,2,0,2
87,Anchoe,0,2,2,0,0.001864512,0.137254247,0,0,0,2,2
88,MyTaN,3,0,3,0.020902538,0,0.156852585,0,0,3,0,3
89,R.,0,0,0,0,0,0,0,0,0,0,0
90,GumNam,0,1,1,0,0.001243008,0.001243008,0,0,0,1,1
91,慕寒,8,0,8,0.007178372,0,0.145471784,0,0,8,0,8
92,Ace组合,1,0,1,0.001243008,0,0.111746405,0,0,1,0,1
93,王童语,0,0,0,0,0,0,0,0,0,0,0
94,汐音社,3,0,3,0.003164021,0,0.163482922,0,0,3,0,3
95,旦旦,0,1,1,0,0.001243008,0.085887611,0,0,0,1,1
96,毛泽少,2,0,2,0.001864512,0,0.13933164,0,0,2,0,2
97,张童,0,2,2,0,0.002175264,0.150184909,0,0,0,2,2
98,电鸟个灯泡,7,0,7,0.005141533,0,0.167676943,0,0,7,0,7
99,苗小青,0,0,0,0,0,0,0,0,0,0,0
100,LostFrequencies,0,0,0,0,0,0,0,0,0,0,0
101,茶理理,4,0,4,0.00310752,0,0.173232103,0,0,4,0,4
102,铁击,0,0,0,0,0,0,0,0,0,0,0
103,任舒瞳,1,2,3,0.001243008,0.001864512,0.118514002,1,3.87E-07,1,2,3
104,W.K.,0,1,1,0,0.004866693,0.131934744,0,0,0,1,1
105,DJ,0,0,0,0,0,0,0,0,0,0,0
106,变奏的梦想,2,2,4,0.001864512,0.00207168,0.134791653,6,2.32E-06,2,2,4
107,姜昕,0,0,0,0,0,0,0,0,0,0,0
108,赖伟锋,1,1,2,0.001243008,0.001243008,0.12937544,0.5,1.93E-07,1,1,2
109,星球撞树,0,0,0,0,0,0,0,0,0,0,0
110,颜妹,0,3,3,0,0.004101927,0.143870729,0,0,0,3,3
111,徐真真,0,2,2,0,0.001864512,0.139420803,0,0,0,2,2
112,马頔,1,0,1,0.001243008,0,0.128107551,0,0,1,0,1
113,Danny_AhBoy许佳麟,0,1,1,0,0.001243008,0.113217517,0,0,0,1,1
114,Zaliva-D,2,0,2,0.001864512,0,0.135405992,0,0,2,0,2
115,牛奶味夹心阿尔卑斯,0,2,2,0,0.001864512,0.140439348,0,0,0,2,2
116,小旭音乐,0,0,0,0,0,0,0,0,0,0,0
117,AK,0,0,0,0,0,0,0,0,0,0,0
118,陶喆,4,0,4,0.003995383,0,0.156402183,0,0,4,0,4
119,蛋卷,0,2,2,0,0.004871248,0.148445315,0,0,0,2,2
120,江映蓉,2,1,3,0.001243008,0,0.001243008,0,0,2,1,2
121,哦漏,5,2,7,0.004713072,0.001864512,0.167076872,24,9.29E-06,5,5,10
122,黑峰,0,0,0,0,0,0,0,0,0,0,0
123,兔裹煎蛋卷,1,0,1,0.001243008,0,0.126081158,0,0,1,0,1
124,崔开潮,1,0,1,0.001243008,0,0.126276028,0,0,1,0,1
125,Awich,0,0,0,0,0,0,0,0,0,0,0
126,贰佰,0,3,3,0,0.002486016,0.160275803,0,0,0,3,3
127,谢路昊,0,1,1,0,0.00149161,0.145698779,0,0,0,1,1
128,声音玩具,0,0,0,0,0,0,0,0,0,0,0
129,AbdurusulObul,1,2,3,0.001243008,0.001864512,0.129967135,2,7.74E-07,1,2,3
130,鲸鱼岛乐队,2,0,2,0.004350528,0,0.145828809,0,0,2,0,2
131,何大河,3,0,3,0.016254721,0,0.158296131,0,0,3,0,3
132,德勒闹吾,1,0,1,0.001243008,0,0.084357863,0,0,1,0,1
133,Stwo,0,0,0,0,0,0,0,0,0,0,0
134,万晓利,1,0,1,0.002130871,0,0.137398512,0,0,1,0,1
135,Pink,0,1,1,0,0.001243008,0.13685191,0,0,0,1,1
136,艾格,0,0,0,0,0,0,0,0,0,0,0
137,ambernini,0,1,1,0,0.001243008,0.13560264,0,0,0,1,1
138,JINDJs,0,3,3,0,0.002486016,0.158028221,0,0,0,4,4
139,高夫,0,0,0,0,0,0,0,0,0,0,0
140,Ballrockin,0,11,11,0,0.013212716,0.170520408,0,0,0,18,18
141,雷佳,0,0,0,0,0,0,0,0,0,0,0
142,Aosaki,0,4,4,0,0.003262896,0.143775786,0,0,0,4,4
143,烈雨,6,7,13,0.004350528,0.004972032,0.184425712,50,1.93E-05,6,7,13
144,郑子威,1,0,1,0.001243008,0,0.11778784,0,0,1,0,1
145,啤酒车,0,0,0,0,0,0,0,0,0,0,0
146,J.Fla,0,0,0,0,0,0,0,0,0,0,0
147,Y_xhの柒姬,0,9,9,0,0.007594893,0.157723148,0,0,0,9,9
148,颜韵Ycy,0,0,0,0,0,0,0,0,0,0,0
149,陈珊妮,0,0,0,0,0,0,0,0,0,0,0
150,V.K克,0,2,2,0,0.001864512,0.099985425,0,0,0,2,2
151,林宥嘉,0,0,0,0,0,0,0,0,0,0,0
152,莫西子诗,6,0,6,0.004883246,0,0.148512775,0,0,7,0,7
153,鲁向卉,2,1,3,0.001864512,0.001243008,0.148546528,2,7.74E-07,2,1,3
154,eddy盖奶,3,0,3,0.002486016,0,0.133907954,0,0,3,0,3
155,董雪婷,0,1,1,0,0.001243008,0.139420803,0,0,0,1,1
156,Ookay,12,0,12,0.015774721,0,0.183031286,0,0,13,0,13
157,Fleurie,0,0,0,0,0,0,0,0,0,0,0
158,PEATLE,0,1,1,0,0.001243008,0.128763736,0,0,0,1,1
159,大坏兔子,0,4,4,0,0.00310752,0.157457173,0,0,0,4,4
160,阿杜,2,0,2,0.001864512,0,0.13543405,0,0,2,0,2
161,潘小芬,0,3,3,0,0.002663589,0.140138234,0,0,0,3,3
162,炸炸,0,0,0,0,0,0,0,0,0,0,0
163,邱有句,5,0,5,0.003729024,0,0.156140641,0,0,5,0,5
164,Tujamo,0,0,0,0,0,0,0,0,0,0,0
165,小艾EYE,1,0,1,0.001243008,0,0.134597348,0,0,1,0,1
166,DU丢丢丢,2,0,2,0.001864512,0,0.125572473,0,0,2,0,2
167,EXIA,0,6,6,0,0.004350528,0.151895125,0,0,0,6,6
168,Tritonal,0,0,0,0,0,0,0,0,0,0,0
169,张碧晨,2,0,2,0.001864512,0,0.154699343,0,0,2,0,2
170,杨多,0,1,1,0,0.001243008,0.151648428,0,0,0,1,1
171,RobertFalcon,0,0,0,0,0,0,0,0,0,0,0
172,ProgressiveDigitalStation,0,1,1,0,0.001243008,0.134182863,0,0,0,1,1
173,雷雨心,0,1,1,0,0.001243008,0.001243008,0,0,0,1,1
174,莫安琪AngelMo,0,0,0,0,0,0,0,0,0,0,0
175,DillonFrancis,0,0,0,0,0,0,0,0,0,0,0
176,魏小也,0,0,0,0,0,0,0,0,0,0,0
177,聚来提,0,0,0,0,0,0,59,0,0,0,0
178,GC国丞,4,2,6,0.00832275,0.001775726,0.117470295,0,2.28E-05,4,3,7
179,UZ,0,3,3,0,0.006007872,0.155991581,0,0,0,3,3
180,Ofenbach,0,0,0,0,0,0,0,0,0,0,0
181,九宝乐队,4,0,4,0.005327177,0,0.159844638,0,0,4,0,4
182,谢天笑,8,0,8,0.006525792,0,0.169152361,0,0,8,0,8
183,oNEwAY,0,1,1,0,0.001243008,0.133716187,0,0,0,1,1
184,废墟乐队,0,0,0,0,0,0,0,0,0,0,0
185,月代彩,6,0,6,0.004350528,0,0.179364633,0,0,6,0,6
186,灰色,0,1,1,0,0.001243008,0.001243008,0,0,0,1,1
187,任升,0,5,5,0,0.003867136,0.151718831,0,0,0,5,5
188,芮甜甜,0,0,0,0,0,0,0,0,0,0,0
189,MLK麋鹿王国,1,0,1,0.001243008,0,0.126276028,0,0,1,0,1
190,澄海伯伯,0,6,6,0,0.005623132,0.15140253,0,0,0,6,6
191,Deca,0,0,0,0,0,0,0,0,0,0,0
192,紫堂宿,0,3,3,0,0.002938019,0.140138234,0,0,0,4,4
193,mAjorHon,19,0,19,0.020891071,0,0.189012355,12,0,20,0,20
194,JAEFOREAL,1,4,5,0.001243008,0.003343263,0.141564809,0,4.64E-06,1,4,5
195,PaRaDSE,0,1,1,0,0.001243008,0.001243008,6,0,0,1,1
196,魏雪漫,2,1,3,0.002175264,0.001243008,0.147607209,0,2.32E-06,2,1,3
197,AlanWalker,0,0,0,0,0,0,0,0,0,0,0
198,阿力木江·托合提,0,7,7,0,0.005085033,0.162709665,0,0,0,7,7
199,ShahMat,0,2,2,0,0.00207168,0.137862207,0,0,0,2,2
200,马潇,0,0,0,0,0,0,0,0,0,0,0
201,郭思达,0,0,0,0,0,0,0,0,0,0,0
202,新乐尘符,1,1,2,0.001243008,0.001243008,0.083913817,0,0,1,1,2
203,阿森,0,1,1,0,0.001243008,0.144859203,0,0,0,1,1
204,熊熊作业,1,0,1,0.001243008,0,0.123158983,0,0,1,0,1
205,网易CC直播,1,0,1,0.001243008,0,0.161903573,0,0,1,0,1
206,钟立风,2,0,2,0.003080498,0,0.139748711,0,0,2,0,2
207,ABSDJHONG,0,3,3,0,0.002486016,0.139124036,0,0,0,3,3
208,Worezh,2,0,2,0.001864512,0,0.124259453,0,0,2,0,2
209,Controls,0,11,11,0,0.007458048,0.153934226,0,0,0,11,11
210,KBShinya,3,0,3,0.004031378,0,0.153392331,322.5,0,6,0,6
211,丽江小倩,1,14,15,0.002677248,0.013594168,0.175088327,0,1.25E-04,1,14,15
212,BingoPlayers,0,0,0,0,0,0,0,0,0,0,0
213,TalkboxRocKit,0,2,2,0,0.002532053,0.134708311,0,0,0,2,2
214,王珮瑜,1,0,1,0.001243008,0,0.001243008,0,0,1,0,1
215,薄云天,0,0,0,0,0,0,2,0,0,0,0
216,Nona_Q,2,1,3,0.001864512,0.001243008,0.102046015,0,7.74E-07,2,1,3
217,段丽阳,0,0,0,0,0,0,0,0,0,0,0
218,杨烁,0,0,0,0,0,0,0,0,0,0,0
219,李常超(Lao乾妈),0,1,1,0,0.001243008,0.136794626,0,0,0,1,1
220,黄榕生,0,2,2,0,0.005053098,0.130930433,0,0,0,5,5
221,北树乐队,1,0,1,0.001243008,0,0.126154164,0,0,1,0,1
222,郑建鹏,0,1,1,0,0.001243008,0.141136844,0,0,0,1,1
223,英雄联盟,1,0,1,0.001243008,0,0.001243008,0,0,1,0,1
224,雲道娱乐,3,0,3,0.00483392,0,0.160986385,0,0,4,0,4
225,RANA.Queen,0,1,1,0,0.001243008,0.125020031,0,0,0,1,1
226,梦灵,0,1,1,0,0.001243008,0.001243008,0,0,0,1,1
227,逃跑计划,0,0,0,0,0,0,0,0,0,0,0
228,昼夜,0,1,1,0,0.001243008,0.152961555,0,0,0,1,1
229,Habstrakt,0,0,0,0,0,0,0,0,0,0,0
230,胡灵,0,0,0,0,0,0,18.5,0,0,0,0
231,金玟岐,12,2,14,0.008079553,0.001864512,0.18879397,0,7.16E-06,12,2,14
232,蒋大为,0,0,0,0,0,0,8,0,0,0,0
233,冰块先生,4,1,5,0.003442176,0.001243008,0.156252623,84,3.10E-06,4,1,5
234,Yoken_Official,3,7,10,0.002486016,0.008701057,0.172728521,0,3.25E-05,3,7,10
235,脑浊乐队,2,0,2,0.001864512,0,0.134652807,0,0,2,0,2
236,半梦,0,6,6,0,0.00920197,0.163687634,0,0,0,6,6
237,麦组合,0,1,1,0,0.001243008,0.001243008,3,0,0,1,1
238,Rita黄汐源,1,2,3,0.001243008,0.001864512,0.158488051,0,1.16E-06,1,2,3
239,张信哲,0,0,0,0,0,0,0,0,0,0,0
240,张杰,5,0,5,0.003729024,0,0.138299772,0,0,10,0,10
241,复乐班,0,6,6,0,0.007299367,0.179957248,0,0,0,6,6
242,王齐铭WatchMe,9,0,9,0.00621504,0,0.162064152,0,0,9,0,9
243,Shaggy,0,0,0,0,0,0,0,0,0,0,0
244,Calculasian,0,1,1,0,0.001243008,0.145991674,0,0,0,1,1
245,王广允,0,0,0,0,0,0,0,0,0,0,0
246,AkaneXIii茜,1,0,1,0.001243008,0,0.161903573,0,0,1,0,1
247,CasinoDemon,0,0,0,0,0,0,0,0,0,0,0
248,秦岚,0,1,1,0,0.001243008,0.001243008,0,0,0,1,1
249,VOGUE,0,0,0,0,0,0,0,0,0,0,0
250,猫女林,0,0,0,0,0,0,0,0,0,0,0
251,箱子君,0,2,2,0,0.003589186,0.121015501,0,0,0,2,2
252,高铭,0,1,1,0,0.001243008,0.001243008,9,0,0,1,1
253,林斜阳,1,3,4,0.001243008,0.002663589,0.141995378,0,3.48E-06,2,3,5
254,马帮乐队,1,0,1,0.001243008,0,0.130642559,24,0,1,0,1
255,KingStar,4,3,7,0.003262896,0.002900352,0.121082757,0,9.29E-06,4,3,7
256,高晨薇,0,2,2,0,0.001864512,0.121352529,0,0,0,4,4
257,土不叔叔乐队,1,0,1,0.001243008,0,0.109371607,0,0,1,0,1
258,FarEastMovement,0,2,2,0,0.001864512,0.113709938,1,0,0,7,7
259,陶峻汐,1,1,2,0.001243008,0.001243008,0.134155321,0,3.87E-07,1,1,2
260,秋火林荫,0,9,9,0,0.00621504,0.156066075,0,0,0,9,9
261,靳松,0,0,0,0,0,0,0,0,0,0,0
262,潘虹樾,0,0,0,0,0,0,0,0,0,0,0
263,ZER,0,6,6,0,0.004825796,0.153140751,2,0,0,6,6
264,苟瀚中,1,2,3,0.001243008,0.001864512,0.150184909,0,7.74E-07,1,2,3
265,庆庆,0,5,5,0,0.007263828,0.160946743,0,0,0,5,5
266,泥鳅Niko,3,0,3,0.00349596,0,0.131140595,24,0,3,0,3
267,吕大叶,1,4,5,0.002796768,0.00233064,0.12858641,0,9.29E-06,1,4,5
268,宮脇詩音,0,0,0,0,0,0,0,0,0,0,0
269,Polymath,2,0,2,0.001864512,0,0.15543513,0,0,2,0,2
270,范炜与程渤智,0,1,1,0,0.001243008,0.087980175,0,0,0,1,1
271,ALow.,0,2,2,0,0.001864512,0.151895125,0,0,0,3,3
272,蔡淳佳,1,0,1,0.001243008,0,0.139183289,0,0,1,0,1
273,邵言,1,0,1,0.001243008,0,0.122581531,0,0,1,0,1
274,LOKEY低调组合,0,1,1,0,0.001243008,0.123414789,0,0,0,1,1
275,JesseCook,0,0,0,0,0,0,0,0,0,0,0
276,Tonino祖力,3,0,3,0.002486016,0,0.132068039,0,0,3,0,3
277,Katana_real,0,1,1,0,0.001243008,0.133552252,0,0,0,1,1
278,NeverBefore,0,0,0,0,0,0,59.667,0,0,0,0
279,LuckyMaxx,8,1,9,0.022753368,0.001243008,0.182980046,0,2.31E-05,8,1,9
280,奉枫,0,0,0,0,0,0,0,0,0,0,0
281,彭远扬,0,0,0,0,0,0,0,0,0,0,0
282,uncle,0,1,1,0,0.004624721,0.148411608,0,0,0,1,1
283,Mu,0,7,7,0,0.007631491,0.16258824,0,0,0,7,7
284,OmenXIII,5,0,5,0.003995383,0,0.168890109,0,0,5,0,5
285,Candy_Wind,0,7,7,0,0.006434395,0.153934226,0,0,0,7,7
286,Cilantro_killer,0,2,2,0,0.001864512,0.13434835,0,0,0,2,2
287,Nootag,1,0,1,0.001243008,0,0.084357863,0,0,1,0,1
288,何曼婷,0,0,0,0,0,0,0,0,0,0,0
289,唐音工作室,0,3,3,0,0.002486016,0.157229907,0,0,0,3,3
290,可乐就是力量,0,2,2,0,0.003598181,0.154115709,0,0,0,2,2
291,UmmetOzcan,0,0,0,0,0,0,0,0,0,0,0
292,Blaster,0,0,0,0,0,0,0,0,0,0,0
293,炁体源流,0,1,1,0,0.00581634,0.143902405,0,0,0,1,1
294,KOH,0,2,2,0,0.001864512,0.144666827,0,0,0,2,2
295,持枪萝莉,0,1,1,0,0.00149161,0.096544272,0,0,0,1,1
296,姚雪,0,0,0,0,0,0,0,0,0,0,0
297,芳蓉,0,0,0,0,0,0,0,0,0,0,0
298,范忆堂,0,1,1,0,0.00669312,0.125211633,0,0,0,1,1
299,eigenTunes亦听,0,1,1,0,0.001243008,0.105148765,0,0,0,1,1
300,四季音色,6,0,6,0.004350528,0,0.144060993,0,0,6,0,6
301,邱胜翊,0,0,0,0,0,0,0,0,0,0,0
302,安悦溪,0,0,0,0,0,0,0,0,0,0,0
303,贰鱼,1,0,1,0.001243008,0,0.001243008,0,0,1,0,1
304,葛八岁,1,0,1,0.001243008,0,0.125548353,0,0,1,0,1
305,豆心,0,1,1,0,0.00310752,0.146154902,0,0,0,3,3
306,依兴驰,5,0,5,0.003729024,0,0.166396315,0,0,6,0,6
307,彭家熙,0,3,3,0,0.002486016,0.141289391,0,0,0,3,3
308,SimorE,0,1,1,0,0.001243008,0.132148145,0,0,0,1,1
309,余佳运,22,0,22,0.021823835,0,0.184738475,0,0,23,0,23
310,何艺纱,0,0,0,0,0,0,0,0,0,0,0
311,拜合提亚bahtiyaraziz,0,9,9,0,0.007313932,0.171280064,0,0,0,9,9
312,BNC$BrandNewCohort,0,1,1,0,0.001243008,0.114687616,0,0,0,1,1
313,NIKI,0,0,0,0,0,0,0,0,0,0,0
314,高赫,0,0,0,0,0,0,0,0,0,0,0
315,千坂,15,0,15,0.020538479,0,0.184425712,0,0,15,0,15
316,Kael鹿帆,0,2,2,0,0.001864512,0.138563647,0,0,0,2,2
317,青春美少女,0,0,0,0,0,0,0,0,0,0,0
318,EasyRider逍遥骑士,0,0,0,0,0,0,0,0,0,0,0
319,黑戒,0,0,0,0,0,0,1.5,0,0,0,0
320,谷柏杉,1,2,3,0.001243008,0.001864512,0.157533074,0,5.80E-07,1,2,3
321,阿基耐,0,0,0,0,0,0,0,0,0,0,0
